mode,trade_datetime,open,high,low,close,volume,dividend
unadjusted,2020-08-03,433.0,446.54,431.57,435.75,74413499,
unadjusted,2020-08-04,436.55,443.15,433.55,438.66,41894427,
unadjusted,2020-08-05,437.75,441.53,435.59,440.25,28639358,
unadjusted,2020-08-06,441.65,457.65,439.19,455.61,49116593,
unadjusted,2020-08-07,453.0,454.7,441.18,444.45,46760815,0.8200
unadjusted,2020-08-10,450.06,455.1,440.0,450.91,51345671,
unadjusted,2020-08-11,448.0,449.93,436.48,437.5,44542146,
unadjusted,2020-08-12,441.9,453.1,441.19,452.04,40117931,
unadjusted,2020-08-13,458.0,464.17,455.71,460.04,49012755,
unadjusted,2020-08-14,458.76,460.0,452.18,459.63,39512037,
unadjusted,2020-08-17,464.0,464.36,455.87,458.43,27759840,
unadjusted,2020-08-18,457.45,464.0,456.05,462.25,25067180,
unadjusted,2020-08-19,463.97,468.64,462.45,462.83,35241167,
unadjusted,2020-08-20,463.0,473.56,462.95,473.1,30543687,
unadjusted,2020-08-21,478.06,499.47,476.96,497.48,80578252,
unadjusted,2020-08-24,515.11,515.14,495.75,503.43,82141732,
unadjusted,2020-08-25,498.8,500.71,492.21,499.3,50783015,
unadjusted,2020-08-26,504.98,507.97,500.35,506.09,39216373,
unadjusted,2020-08-27,508.5,509.94,495.36,500.04,37393655,
unadjusted,2020-08-28,504.0,505.77,498.31,499.23,44260263,
unadjusted,2020-08-31,127.67,131.0,126.25,129.04,210249674,
unadjusted,2020-09-01,132.91,134.8,130.53,134.18,143284287,
adjusted,2020-08-03,108.25000000000003,111.63500000000002,107.89250000000003,108.93750000000003,297653995,
adjusted,2020-08-04,109.13750000000002,110.78750000000002,108.38750000000002,109.66500000000002,167577707,
adjusted,2020-08-05,109.43750000000003,110.38250000000002,108.89750000000002,110.06250000000003,114557431,
adjusted,2020-08-06,110.41250000000002,114.41250000000002,109.79750000000003,113.90250000000002,196466371,
adjusted,2020-08-07,113.25000000000003,113.67500000000003,110.29500000000003,111.11250000000003,187043259,0.2050000loo286
adjusted,2020-08-10,112.51500000000003,113.77500000000002,110.00000000000003,112.72750000000002,205382683,
adjusted,2020-08-11,112.00000000000003,112.48250000000003,109.12000000000002,109.37500000000003,178168583,
adjusted,2020-08-12,110.47500000000002,113.27500000000002,110.29750000000003,113.01000000000002,160471723,
adjusted,2020-08-13,114.50000000000003,116.04250000000002,113.92750000000002,115.01000000000002,196051019,
adjusted,2020-08-14,114.69000000000003,115.00000000000003,113.04500000000003,114.90750000000003,158048147,
adjusted,2020-08-17,116.00000000000003,116.09000000000003,113.96750000000003,114.60750000000003,111039359,
adjusted,2020-08-18,114.36250000000003,116.00000000000003,114.01250000000003,115.56250000000003,100268719,
adjusted,2020-08-19,115.99250000000002,117.16000000000003,115.61250000000003,115.70750000000002,140964667,
adjusted,2020-08-20,115.75000000000003,118.39000000000003,115.73750000000003,118.27500000000002,122174747,
adjusted,2020-08-21,119.51500000000003,124.86750000000002,119.24000000000002,124.37000000000003,322313007,
adjusted,2020-08-24,128.77750000000003,128.78500000000003,123.93750000000003,125.85750000000003,328566927,
adjusted,2020-08-25,124.70000000000003,125.17750000000002,123.05250000000002,124.82500000000003,203132059,
adjusted,2020-08-26,126.24500000000003,126.99250000000002,125.08750000000002,126.52250000000002,156865491,
adjusted,2020-08-27,127.12500000000003,127.48500000000003,123.84000000000003,125.01000000000003,149574619,
adjusted,2020-08-28,126.00000000000003,126.44250000000002,124.57750000000003,124.80750000000003,177041051,
adjusted,2020-08-31,127.67,131.0,126.25,129.04,210249674,
adjusted,2020-09-01,132.91,134.8,130.53,134.18,143284287,
total_return,2020-08-03,433.0,446.54,431.57,435.75,74413499,
total_return,2020-08-04,436.55,443.15,433.55,438.66,41894427,
total_return,2020-08-05,437.75,441.53,435.59,440.25,28639358,
total_return,2020-08-06,441.65,457.65,439.19,455.61,49116593,
total_return,2020-08-07,453.83577455281807,455.53891101361233,441.9939669254134,445.27,46760815,
total_return,2020-08-10,450.890350320621,455.93964900438743,440.8117898526268,451.7419185510181,51345671,
total_return,2020-08-11,448.82654966812913,450.7601104736191,437.2852955338058,438.30717741028235,44542146,
total_return,2020-08-12,442.71529530880866,453.9359590505119,442.0039853751828,452.8740033749578,40117931,
total_return,2020-08-13,458.84499943750706,465.0263829452132,456.5507744403195,460.8887631904601,49012755,
total_return,2020-08-14,459.60640161997975,460.8486893913826,453.0142616717291,460.4780067499156,39512037,
total_return,2020-08-17,464.85606929913376,465.21673349083136,456.71106963662953,459.27579277759025,27759840,
total_return,2020-08-18,458.29398470019123,464.85606929913376,456.89140173247836,463.10284058949264,25067180,
total_return,2020-08-19,464.8260139498256,469.5046299921251,463.30320958488016,463.68391067611657,35241167,
total_return,2020-08-20,463.854224322196,474.433707278659,463.8041320733491,473.9728585892676,30543687,
total_return,2020-08-21,478.94200967487905,500.3915106311171,477.8399802002475,498.3978391270109,80578252,
total_return,2020-08-24,516.0603660704242,516.0904214197323,496.66464731690854,504.35881673979077,82141732,
total_return,2020-08-25,499.7202744965688,501.63379840252,493.1181160985488,500.2211969850377,50783015,
total_return,2020-08-26,505.9116764540443,508.9071929350883,501.2731342108224,507.02372437844525,39216373,
total_return,2020-08-27,509.43817077286536,510.88082753965574,496.2739277759028,500.96256226797163,37393655,
total_return,2020-08-28,504.9298683766453,506.70313398582516,499.22937045786927,500.15106783665203,44260263,
total_return,2020-08-31,511.62219282258974,524.9667679154011,505.93171335358306,517.1123032962088,52562418,
total_return,2020-09-01,532.6208635392057,540.1948115648554,523.083299358758,537.7102360220497,35821071,
